instruction,intent,category,response
Can you explain the payment methods process?,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
My issue is about product return; what should I do next?,product_return,RETURNS,Use the product return SOP and provide the correct next step.
What is the company policy for password reset?,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
My issue is about payment methods; what should I do next?,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
My issue is about billing disputes; what should I do next?,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
Please help me resolve a refund policy problem.,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
What is the company policy for refund policy?,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with payment methods for order 101345,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with technical troubleshooting for order 101220,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
My issue is about data privacy; what should I do next?,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with account recovery for order 102535,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
Please help me resolve a product return problem.,product_return,RETURNS,Use the product return SOP and provide the correct next step.
Can you explain the order tracking process?,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with data privacy for order 102680,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
My issue is about shipping delays; what should I do next?,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
Can you explain the shipping delays process?,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
Please help me resolve a password reset problem.,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with refund policy for order 102465,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
My issue is about working hours; what should I do next?,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
Please help me resolve a shipping delays problem.,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
My issue is about order tracking; what should I do next?,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with payment methods for order 103815,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
What is the company policy for payment methods?,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
My issue is about subscription cancellation; what should I do next?,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
What is the company policy for billing disputes?,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
Can you explain the billing disputes process?,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with account recovery for order 103250,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with shipping delays for order 102245,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
