instruction,intent,category,baseline_output,naive_rag_output,reference,baseline_rouge1,baseline_rougeL,baseline_bleu,naive_rag_rouge1,naive_rag_rougeL,naive_rag_bleu,baseline_hallucination,naive_rag_hallucination
I need help with refund policy for order 105195,refund_policy,BILLING,Please contact support with your order details. The team will review the issue and provide an update as soon as possible.,"According to the Refund Policy SOP: Customers may request a refund within 30 days of the original purchase or delivery date, whichever is later. To be eligible, the item must be unused or defective, and the request must reference a valid order identifier. Digital goods and subscription fees already consumed are non-refundable except where required by local consumer law. Approved refunds are issued to the original payment method. If the original card or wallet is no longer active, store credit of equal value is offered as an alternative. Cash refunds are not provided for online orders. Once a refund is approved, the amount is released within 5–7 business days. Bank or card-network posting can add a further 3–5 business days, so","# Refund Policy ## Eligibility Customers may request a refund within 30 days of the original purchase or delivery date, whichever is later. To be eligible, the item must be unused or defective, and the request must reference a valid order identifier. Digital goods and subscription fees already consumed are non-refundable except where required by local consumer law. ## Refund Methods Approved refunds are issued to the original payment method. If the original card or wallet is no longer active, store credit of equal value is offered as an alternative. Cash refunds are not provided for online orders. ## Processing Time Once a refund is approved, the amount is released within 5–7 business days. Bank or card-network posting can add a further 3–5 business days, so advise customers that the full cycle may take up to 12 business days. Duplicate or accidental charges are prioritized and typically",0.04081632653061224,0.027210884353741496,3.5436602094327226e-05,0.8367346938775511,0.8231292517006803,0.7853360551418002,False,False
I need help with data privacy for order 103785,data_privacy,PRIVACY,Please contact support with your order details. The team will review the issue and provide an update as soon as possible.,"According to the Data Privacy SOP: Covers customer requests about their personal data: what is held, access copies, correction, deletion, marketing preferences, and concerns about how data is used. Collect only what is needed, use it only for stated purposes, and never share customer data with unauthorized parties. Agents access customer records only to resolve the customer's own request. - **Access:** the customer may request a copy of their personal data. Fulfilled within the statutory window after identity verification. - **Correction:** inaccurate details are updated through the verified-change workflow. - **Deletion:** account and personal data are deleted on request, except records that must be retained for legal, tax, ","# Data Privacy ## Scope Covers customer requests about their personal data: what is held, access copies, correction, deletion, marketing preferences, and concerns about how data is used. ## Core Principles Collect only what is needed, use it only for stated purposes, and never share customer data with unauthorized parties. Agents access customer records only to resolve the customer's own request. ## Data Subject Requests - **Access:** the customer may request a copy of their personal data. Fulfilled within the statutory window after identity verification. - **Correction:** inaccurate details are updated through the verified-change workflow. - **Deletion:** account and personal data are deleted on request, except records that must be retained for legal, tax, or fraud-prevention reasons; explain any such retention plainly. - **Marketing opt-out:** honored promptly and does not affect essen",0.0390625,0.03125,8.367387139141083e-05,0.8046875,0.8046875,0.7568895811231479,False,False
I need help with product return for order 103595,product_return,RETURNS,Please contact support with your order details. The team will review the issue and provide an update as soon as possible.,"According to the Product Return SOP: Covers physically returning an item, whether for a refund, an exchange, or a warranty replacement. The monetary outcome is governed by the refund policy; this procedure covers the logistics of getting the item back. Items may be returned within 30 days of delivery. They should be in resalable condition with original packaging where practical. Defective or incorrectly-shipped items can be returned at any reasonable time and never incur a restocking deduction. 1. Issue a prepaid return label for defective or wrong-item cases at no cost to the customer. 2. For change-of-mind returns, the customer may be responsible for return shipping unless a free-returns promotion applies. 3. Provide a return","# Product Return ## Scope Covers physically returning an item, whether for a refund, an exchange, or a warranty replacement. The monetary outcome is governed by the refund policy; this procedure covers the logistics of getting the item back. ## Return Window Items may be returned within 30 days of delivery. They should be in resalable condition with original packaging where practical. Defective or incorrectly-shipped items can be returned at any reasonable time and never incur a restocking deduction. ## Return Methods 1. Issue a prepaid return label for defective or wrong-item cases at no cost to the customer. 2. For change-of-mind returns, the customer may be responsible for return shipping unless a free-returns promotion applies. 3. Provide a return reference and instructions for drop-off or pickup. ## Exchanges For size, color, or model swaps, create the replacement order on a hold an",0.05555555555555555,0.034722222222222224,4.392672498345256e-05,0.8125,0.8055555555555556,0.7628625920701527,False,False
I need help with subscription cancellation for order 102740,subscription_cancellation,ACCOUNT,Please contact support with your order details. The team will review the issue and provide an update as soon as possible.,"According to the Subscription Cancellation SOP: Covers customers who want to cancel a recurring subscription, pause it, or stop auto-renewal. Refunds for already-billed periods follow the refund policy. - **Cancel at period end (default):** access continues until the paid period expires; no further charges occur. - **Immediate cancellation:** access ends now; eligible unused time may be refunded only where the plan terms or local law require it. - **Pause:** billing suspends for a chosen interval and resumes automatically unless cancelled. Auto-renewal is on by default. Disabling it keeps the subscription active through the current period and prevents the next charge. Confirm to the customer the exact date the final access ends. Offering ","# Subscription Cancellation ## Scope Covers customers who want to cancel a recurring subscription, pause it, or stop auto-renewal. Refunds for already-billed periods follow the refund policy. ## Cancellation Options - **Cancel at period end (default):** access continues until the paid period expires; no further charges occur. - **Immediate cancellation:** access ends now; eligible unused time may be refunded only where the plan terms or local law require it. - **Pause:** billing suspends for a chosen interval and resumes automatically unless cancelled. ## Auto-Renewal Auto-renewal is on by default. Disabling it keeps the subscription active through the current period and prevents the next charge. Confirm to the customer the exact date the final access ends. ## Retention Offering a pause or a downgrade is acceptable when the customer's concern is price or temporary non-use. Do not apply p",0.022058823529411766,0.022058823529411766,5.0313225357095e-05,0.8014705882352942,0.7941176470588235,0.7517936831245356,False,False
I need help with order tracking for order 102110,order_tracking,ORDERS,Please contact support with your order details. The team will review the issue and provide an update as soon as possible.,"According to the Order Tracking SOP: Helps customers locate an order and interpret its status. Orders that have clearly exceeded their delivery window follow the shipping delays procedure. - **Processing:** payment confirmed, not yet packed. - **Preparing to ship:** packed, awaiting carrier pickup. - **In transit:** carrier has the parcel; tracking events update as it moves. - **Out for delivery:** on the vehicle for delivery that day. - **Delivered:** carrier marked the parcel delivered. - **Exception:** address issue, failed delivery, or held parcel needing action. Locate the order by its identifier and the registered email. Provide the tracking number and carrier link. Tracking can take up to 24 hours to show the first scan ","# Order Tracking ## Scope Helps customers locate an order and interpret its status. Orders that have clearly exceeded their delivery window follow the shipping delays procedure. ## Order States - **Processing:** payment confirmed, not yet packed. - **Preparing to ship:** packed, awaiting carrier pickup. - **In transit:** carrier has the parcel; tracking events update as it moves. - **Out for delivery:** on the vehicle for delivery that day. - **Delivered:** carrier marked the parcel delivered. - **Exception:** address issue, failed delivery, or held parcel needing action. ## Finding The Order Locate the order by its identifier and the registered email. Provide the tracking number and carrier link. Tracking can take up to 24 hours to show the first scan after a label is created, so a label with no movement on day one is expected, not lost. ## ""Delivered But Not Received"" 1. Confirm the sh",0.07352941176470588,0.04411764705882353,0.00012089319216996199,0.7720588235294118,0.7647058823529411,0.7147360267465687,False,False
I need help with password reset for order 101110,password_reset,ACCOUNT,Please contact support with your order details. The team will review the issue and provide an update as soon as possible.,"According to the Password Reset SOP: This covers the routine case of a customer who knows their account email but has forgotten or wants to change their password. Lockouts, lost email access, or suspected compromise follow the account recovery procedure instead. Direct the customer to the ""Forgot password"" link on the sign-in page. A reset email is sent to the registered address and the link is valid for 60 minutes and single use. Advise checking spam folders and allowing a few minutes for delivery. - **No email received:** confirm the spelling of the registered address, resend once, and check the address is not an unverified alias. - **Link expired or already used:** generate a fresh reset; old links intentionally stop working","# Password Reset ## Scope This covers the routine case of a customer who knows their account email but has forgotten or wants to change their password. Lockouts, lost email access, or suspected compromise follow the account recovery procedure instead. ## Self-Service Flow Direct the customer to the ""Forgot password"" link on the sign-in page. A reset email is sent to the registered address and the link is valid for 60 minutes and single use. Advise checking spam folders and allowing a few minutes for delivery. ## Common Failure Points - **No email received:** confirm the spelling of the registered address, resend once, and check the address is not an unverified alias. - **Link expired or already used:** generate a fresh reset; old links intentionally stop working for security. - **Reset succeeds but sign-in still fails:** confirm the customer is using the updated password and not a saved ",0.027777777777777776,0.027777777777777776,3.693782557242103e-05,0.8125,0.8055555555555556,0.7628625920701527,False,False
I need help with technical troubleshooting for order 101090,technical_troubleshooting,TECHNICAL,Please contact support with your order details. The team will review the issue and provide an update as soon as possible.,"According to the Technical Troubleshooting SOP: Covers product and platform technical issues: app crashes, login failures caused by the client, sync errors, broken features, errors on checkout, and performance problems. Account access policy questions follow account recovery. 1. Capture the exact symptom, when it started, and whether it is reproducible. 2. Record environment: app or browser version, operating system, and device. 3. Try the standard recovery sequence: update to the latest version, restart the app, clear cache, and retry on another network or device. 4. Confirm whether the issue is account-specific or affects all users (check the status dashboard for a known incident). For repeatable crashes, collect the action that trigger","# Technical Troubleshooting ## Scope Covers product and platform technical issues: app crashes, login failures caused by the client, sync errors, broken features, errors on checkout, and performance problems. Account access policy questions follow account recovery. ## First-Line Steps 1. Capture the exact symptom, when it started, and whether it is reproducible. 2. Record environment: app or browser version, operating system, and device. 3. Try the standard recovery sequence: update to the latest version, restart the app, clear cache, and retry on another network or device. 4. Confirm whether the issue is account-specific or affects all users (check the status dashboard for a known incident). ## Crashes And Errors For repeatable crashes, collect the action that triggers it and any error code or screenshot. For checkout or payment errors, do not retry charges repeatedly — confirm whether ",0.03731343283582089,0.029850746268656716,0.00011181645658544262,0.7985074626865671,0.7985074626865671,0.7522877097027986,False,False
I need help with shipping delays for order 104520,shipping_delays,ORDERS,Please contact support with your order details. The team will review the issue and provide an update as soon as possible.,"According to the Order Tracking SOP: Helps customers locate an order and interpret its status. Orders that have clearly exceeded their delivery window follow the shipping delays procedure. - **Processing:** payment confirmed, not yet packed. - **Preparing to ship:** packed, awaiting carrier pickup. - **In transit:** carrier has the parcel; tracking events update as it moves. - **Out for delivery:** on the vehicle for delivery that day. - **Delivered:** carrier marked the parcel delivered. - **Exception:** address issue, failed delivery, or held parcel needing action. Locate the order by its identifier and the registered email. Provide the tracking number and carrier link. Tracking can take up to 24 hours to show the first scan ","# Shipping Delays ## Scope This procedure covers orders that have shipped but are running behind the estimated delivery date, as well as orders stuck in a pre-shipment state. ## Standard Timelines Domestic orders deliver within 3–7 business days; international orders within 10–21 business days. An order is only considered ""delayed"" once it has passed the upper bound of its quoted window. Carrier scans can lag reality by up to 24 hours, so a single stale tracking event is not by itself a delay. ## Agent Steps 1. Confirm the order identifier and the original estimated window. 2. Check the latest carrier scan and the warehouse dispatch status. 3. If the parcel is in transit but late, open a carrier trace and tell the customer to expect an update within 24–48 hours. 4. If the parcel shows no movement for more than 5 business days, treat it as potentially lost and offer a replacement shipment",0.05161290322580645,0.04516129032258064,4.626379333889169e-05,0.3096774193548387,0.12903225806451613,0.04295235163164187,False,False
I need help with escalation matrix for order 102395,escalation_matrix,ESCALATION,Please contact support with your order details. The team will review the issue and provide an update as soon as possible.,"According to the Refund Policy SOP: Customers may request a refund within 30 days of the original purchase or delivery date, whichever is later. To be eligible, the item must be unused or defective, and the request must reference a valid order identifier. Digital goods and subscription fees already consumed are non-refundable except where required by local consumer law. Approved refunds are issued to the original payment method. If the original card or wallet is no longer active, store credit of equal value is offered as an alternative. Cash refunds are not provided for online orders. Once a refund is approved, the amount is released within 5–7 business days. Bank or card-network posting can add a further 3–5 business days, so","# Escalation Matrix ## Purpose Defines when and how to move a case beyond a first-line agent so customers get the right authority quickly without unnecessary hand-offs. ## Severity Levels - **P1 — Critical:** confirmed account takeover, payment fraud, data breach, or a widespread outage. Escalate immediately to the security or incident queue; do not wait for the customer to follow up. - **P2 — High:** data loss risk, repeated failed resolution, high-value dispute, legal or regulatory mention, or a vulnerable customer. Route to a supervisor the same business day. - **P3 — Medium:** standard dispute above agent authority, policy exception request, or a reproducible technical bug. Queue to the relevant specialist team. - **P4 — Low:** routine question answerable with existing procedures. No escalation. ## Authority Limits First-line agents may approve refunds, goodwill credits, and shipping",0.03875968992248062,0.023255813953488372,7.978278157083814e-05,0.23255813953488372,0.11627906976744186,0.006902258640811028,False,True
I need help with password reset for order 103125,password_reset,ACCOUNT,Please contact support with your order details. The team will review the issue and provide an update as soon as possible.,"According to the Password Reset SOP: This covers the routine case of a customer who knows their account email but has forgotten or wants to change their password. Lockouts, lost email access, or suspected compromise follow the account recovery procedure instead. Direct the customer to the ""Forgot password"" link on the sign-in page. A reset email is sent to the registered address and the link is valid for 60 minutes and single use. Advise checking spam folders and allowing a few minutes for delivery. - **No email received:** confirm the spelling of the registered address, resend once, and check the address is not an unverified alias. - **Link expired or already used:** generate a fresh reset; old links intentionally stop working","# Password Reset ## Scope This covers the routine case of a customer who knows their account email but has forgotten or wants to change their password. Lockouts, lost email access, or suspected compromise follow the account recovery procedure instead. ## Self-Service Flow Direct the customer to the ""Forgot password"" link on the sign-in page. A reset email is sent to the registered address and the link is valid for 60 minutes and single use. Advise checking spam folders and allowing a few minutes for delivery. ## Common Failure Points - **No email received:** confirm the spelling of the registered address, resend once, and check the address is not an unverified alias. - **Link expired or already used:** generate a fresh reset; old links intentionally stop working for security. - **Reset succeeds but sign-in still fails:** confirm the customer is using the updated password and not a saved ",0.027777777777777776,0.027777777777777776,3.693782557242103e-05,0.8125,0.8055555555555556,0.7628625920701527,False,False
